All Macros|所有宏
All Actions|所有动作
Favorites|收藏夹
Delete|删除
Cancel|取消
OK|好
Try|尝试
Try %d Actions|尝试%d动作
View|视图
Move|移动
Save|保存
Move|移动
Enable|启用
Disable|关闭
Enable %d Actions|启用%d动作
Disable %d Actions|禁用%d动作
Application Control|应用控制
Interface Control|接口控制
iTunes Control|iTunes控制
QuickTime Player Control|QuickTime播放器控制
Mail Control|邮件控制
%@ Control|%@控制
System Control|系统控制
MIDI|MIDI
Open|打开
Execute|执行
Web|Web
File|文件
Image|图片
Text|文本
Clipboard|剪贴板
Variables|变量
Switchers|切换器
Notifications|通知
Control Flow|控制流
Keyboard Maestro|Keyboard Maestro
Debugger|调试器
Third Party Plug Ins|第三方插件
Cut|剪切
Copy|复制
Paste|粘贴
Set Clipboard to Variable|设置剪贴板到变量
Set Variable to Clipboard|设置变量到剪贴板
Set Keychain Password to Variable|设置钥匙串密码到变量
Delete Current Clipboard|删除当前剪贴板
Clipboard Content Types:|剪贴板内容类型：
Text Preview:\r\r|文本预览：\r\r
Copy to the named clipboard:|复制到已命名剪贴板：
Cut to the named clipboard:|剪切到已命名剪贴板：
Paste from the named clipboard:|从已命名剪贴板粘贴：
Paste from the clipboard history:|从剪贴板历史粘贴：
Non-Text Clipboard %@|非文本剪贴板%@
< Create New Named Clipboard >|<新建命名剪贴板>
Clipboard #%d|剪贴板＃%d
Default Clipboard Text|默认剪贴板文本
Default Clipboard|默认剪贴板
No Clipboards Available|没有剪贴板可用
Clipboard History Switcher|剪贴板历史记录切换器
Named Clipboard Switcher - Cut|已命名剪贴板切换器 - 剪切
Named Clipboard Switcher - Copy|已命名剪贴板切换器 - 复制
Clipboard Switcher - Paste|剪贴板切换器 - 粘贴
Received a clipboard|收到剪贴板
Sent clipboard|发送剪贴板
Clipboard sending failed (too many retries)|剪贴板发送失败（太多重试）
Preferences: %@|首选项：%@
Icon Chooser: %@|图标选配：%@
No Text in Clipboard|剪贴板没有文本
No Windows Available|没有可用的窗口
Accessibility Disabled|残疾人无障碍
No Applications Available|没有可用的应用程序
Keystroke can not be used.|击键不能使用。
Keyboard Maestro is up to date.|Keyboard Maestro是最新的。
You are running the current version.|您正在运行最新的版本。
The version check failed.|版本检查失败。
An error occurred while trying to check the current version of Keyboard Maestro.|试图检查键盘大师的当前版本时出现错误。
Keyboard Maestro Update|Keyboard Maestro更新
A new version of Keyboard Maestro is available.|Keyboard Maestro新版本已可用。
The automatic install failed.|自动安装失败。
Available in all applications.|在所有应用程序中可用。
Available in these applications:|在这些应用程序中可用：
Available <strong>except</strong> in these applications:|<strong>除</strong>这些应用程序外可用：
Available when <strong>any</strong> of these applications are running:|这些应用程序<strong>任一</strong>运行时可用：
Available when not in any but at least one of these applications are running:|在且仅在这些应用程序任一运行时可用：
Available when <strong>none</strong> of these applications are running:|这些应用程序<strong>无一</strong>运行时可用：
Activated always.|始终激活。
Activated for one action when:|为一个动作激活，当：
Activated/deactivated when:|激活/停用，当：
Shows a palette for one action when:|为一个动作显示浮动面板，当：
Shows/hides a palette when:|显示/隐藏浮动面板，当：
Shows a palette until:|显示一个浮动面板，直到：
Activated always.|始终激活。
Activated for one action when:|为一个动作激活，当：
Activated/deactivated when:|激活/停用，当：
Shows a palette under mouse for one action when:|为一个动作在鼠标下方显示浮动面板，当：
Shows/hides a palette under mouse when:|在鼠标下方显示/隐藏浮动面板，当：
Shows a palette under mouse until:|在鼠标下方显示一个浮动面板，直到：
Available in all windows.|在所有窗口均可用。
Available when there is a focused window.|当有一个聚焦窗口时可用。
Available when there is no focused window.|当没有聚焦窗口时可用。
Available when the focused window title is “%@”.|当聚焦窗口标题为“%@”时可用。
Available when the focused window title is not “%@”.|当聚焦窗口标题不为“%@”时可用。
Sub-Menu %d:|副菜单%d：
Application Switcher|应用程序切换器
Window Switcher|窗口切换器
Application Launcher|应用程序启动器
Quit|退出
Help|帮助
Keyboard Maestro has Switchers Enabled|Keyboard Maestro已启用切换器
Launch Keyboard Maestro|启动Keyboard Maestro
Maybe Later|也许以后
Preference Write Failed|首选项写入失败
Quit|退出
Continue Anyway|仍然继续
Help|帮助
Macro Syncing Disabled|禁用宏同步功能
Check For Update|检查更新
Stop Syncing|停止同步
